idDrink,strDrink,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,Drink_ABV
11128,Boston Sidecar,Light rum,Brandy,Triple sec,Lime,,,,,,,,,4.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34
11157,Brandy Cobbler,Sugar,Club soda,Lemon,Brandy,Maraschino cherry,Orange,,,,,,,0.167,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
11255,Clove Cocktail,Sweet Vermouth,Sloe gin,Wine,,,,,,,,,,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
11634,Lady Love Fizz,Gin,Light cream,Powdered sugar,Lemon,Egg white,Carbonated water,,,,,,,2.0,0.334,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
11959,Poppy Cocktail,Gin,Creme de Cacao,,,,,,,,,,,1.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28
11965,Port Wine Flip,Port,Light cream,Powdered sugar,Egg,Nutmeg,,,,,,,,1.5,0.334,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12057,Royal Gin Fizz,Gin,Lemon,Powdered sugar,Egg,Carbonated water,,,,,,,,2.0,2.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
12087,Rum Milk Punch,Light rum,Milk,Powdered sugar,Nutmeg,,,,,,,,,2.0,8.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
12138,Scotch Cobbler,Scotch,Brandy,Curacao,Orange,Mint,,,,,,,,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
12562,Alice Cocktail,Grenadine,Orange juice,Pineapple juice,Cream,,,,,,,,,0.338,0.338,0.676,1.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12728,Yoghurt Cooler,Yoghurt,Fruit,Ice,,,,,,,,,,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12780,Spiking coffee,Coffee,Cinnamon,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12798,Coffee Liqueur,Coffee,Vanilla extract,Sugar,Vodka,Water,,,,,,,,0.0,2.0,20.0,32.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
13328,Chocolate Milk,Chocolate liqueur,Milk,Amaretto,,,,,,,,,,3.0,3.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
13861,Nutty Irishman,Baileys irish cream,Frangelico,Milk,,,,,,,,,,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
14482,Darkwood Sling,Cherry Heering,Soda water,Orange juice,Ice,,,,,,,,,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
14586,Orange Push-up,Spiced rum,Grenadine,Orange juice,Sour mix,,,,,,,,,5.0,5.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
